count_time	count_locations	counters	total_bike	female_bike	male_bike	total_ped	female_ped	male_ped	other	female_bike_helmet_sidewalk	female_bike_nohelmet_sidewalk	female_bike_helmet_nosidewalk	female_bike_nohelmet_nosidewalk	female_bike_helmet	female_bike_nohelmet	female_bike_sidewalk	female_bike_nosidewalk	male_bike_helmet_sidewalk	male_bike_nohelmet_sidewalk	male_bike_helmet_nosidewalk	male_bike_nohelmet_nosidewalk	male_bike_helmet	male_bike_nohelmet	male_bike_sidewalk	male_bike_nosidewalk	street	cross_street	trail	speed_limit	infrastructure	lat	long	year	month
2	30	26	9	0	9	5	3	2	0	\N	\N	\N	\N	\N	\N	0	0	\N	\N	\N	\N	\N	\N	9	0	Ygnacio 	at Walnut/Bancroft	N	35	4	37.920828	-122.034317	2013	5
2	3	24	114	30	84	70	51	19	0	\N	\N	\N	\N	17	13	\N	\N	\N	\N	\N	\N	55	29	\N	\N	Contra Costa Canal Trail	west of Oak Rd.	Y	15	1	37.92183	-122.058557	2013	5
1	22	18	8	3	5	90	36	54	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Main St	Parkside	N	35	4	37.911944	-122.065422	2012	9
1	36	18	8	2	6	66	31	35	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Parkside Dr	Main St.	N	35	4	37.912	-122.065124	2012	9
1	40	19	8	\N	\N	25	\N	\N	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Civic Dr	Ygnacio	N	35	4	37.906551	-122.058868	2012	9
1	42	19	26	\N	\N	74	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Civic Dr	Broadway	N	35	4	37.902604	-122.060937	2012	9
1	46	21	43	1	42	150	79	71	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NA	NA	NA	NA	NA	NA	NA	2012	9
1	37	18	11	0	11	32	17	15	4	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Ygnacio 	Oakland	N	35	4	37.912	-122.065124	2012	9
1	27	6	13	6	7	104	64	40	2	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Treat Blvd	west of Jones Rd	N	35	4	37.92654	-122.055453	2012	9
1	41	19	15	\N	\N	41	\N	\N	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Ygnacio 	Civic Dr	N	35	4	37.906789	-122.058566	2012	9
1	34	21	4	2	2	13	6	7	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Bancroft	north of Ygnacio	N	35	2	37.921353	-122.035172	2012	9
1	38	36	104	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Broadway	Newell	N	35	4	37.90483	-122.068471	2012	9
1	35	17	22	\N	\N	2	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Broadway	Rudgear	N	35	4	37.879856	-122.048795	2012	9
1	18	18	18	3	15	107	58	49	2	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Oakland Blvd	south of Ygnacio	N	35	1	37.904158	-122.068416	2012	9
1	45	20	47	10	37	363	185	178	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NA	NA	NA	NA	NA	NA	NA	2012	9
1	43	19	8	\N	\N	72	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Broadway	Civic Dr	N	35	4	37.902448	-122.060958	2012	9
1	39	36	25	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Newell Ave	Broadway	N	35	3	37.893684	-122.054812	2012	9
1	7	17	32	\N	\N	6	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Rudgear Rd	Broadway	N	35	4	37.879717	-122.048689	2012	9
